,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,amazon-pay-sdk-java,Java
31,amazon-pay-sdk-php,PHP
32,amazon-pay-sdk-python,Python
33,amazon-pay-sdk-ruby,Ruby
34,amazon-payment-files-tools,Kotlin
35,amazon-payments-magento-2-plugin,PHP
36,amazon-ray,Python
37,amazon-s3-gst-plugin,C
38,amazon-sidewalk-android-samples,
39,amazon-sidewalk-ios-samples,Swift
40,amazon-succinct-doc-representation,Python
41,amazon-template-library,
42,amazon-weak-ner-needle,Python
43,amigitenough,Go
44,amzn-drivers,C
45,amzn-ec2-ena-utilities,Python
46,app-platform,Kotlin
47,armbench,Python
48,augment-the-pairs-wacv2024,Python
49,autotrail,
50,aws-apigateway-client-lib,
51,aws-sigv4-signing-samples,Java
52,AWSSecurityCareerPathwayActivityRust,Rust
53,awsssmchaosrunner,Kotlin
54,basis-point-sets,Python
55,BayesPE,Python
56,buy-with-prime-cdk-constructs,TypeScript
57,buy-with-prime-monitoring-sample-cdk,TypeScript
58,chalet-charging-location-for-electric-trucks,Python
59,computer-vision-basics-in-microsoft-excel,
60,confident-sinkhorn-allocation,Jupyter Notebook
61,convolutional-handwriting-gan,Python
62,cosearcher,Python
63,credence-to-causal-estimation,Python
64,data-jack-knife,Java
65,debiased-balanced-interleaving,Jupyter Notebook
66,differential-privacy-bayesian-optimization,Python
67,distance-assistant,Python
68,drs-sample-android-app,Java
69,drs-sample-ios-app,Objective-C
70,efa-dp-direct,Cuda
71,emukit-playground,JavaScript
72,eslint-plugin-no-date-parsing,TypeScript
73,exoplayer-amazon-port,Java
74,explainable-text-vqa,
75,extremely-efficient-query-encoder,Python
76,faithful-data2text-cycle-training,Python
77,fashion-attribute-disentanglement,Python
78,fire-app-builder,Java
79,firetv-sample-touch-app,Java
80,fkat,Python
81,ftv-integration-sdk-sample-app,Kotlin
82,ftv-livetv-sample-tv-app,Java
83,gameon-sample-game-unity,C#
84,gameon-starter-kit-unity,C#
85,git-commit-template,JavaScript
86,glad,JavaScript
87,golang-gitoperations,Go
88,gpt-oss.java,Java
89,halo-third-party-sdk-for-java,Java
90,halo-third-party-sdk-for-node-js,TypeScript
91,halo-third-party-sdk-for-python,Python
92,hawktracer,C++
93,image-misspell-coling2020,
94,image-to-recipe-transformers,Python
95,informative-diverse-hard-negative-sampling,Python
96,ion-cascading-config,Java
97,ion-object-mapper-dotnet,C#
98,jekyll-doc-project,HTML
99,kotlin-inject-anvil,Kotlin
100,kqr,
101,lib-3d-scene-viewer,TypeScript
102,login-with-amazon-oscommerce,
103,login-with-amazon-wordpress,
104,media3-external-port,
105,merlin-on-demand-callgraph,JavaScript
106,metalearn-leap,Python
107,milan,Scala
108,MonitoringCustomMetrics,Python
109,mrc-net-6d-pose,Python
110,multiconer-baseline,Python
111,multilingual-keyphrase-generation,Python
112,multimodal-affinities,Python
113,MXFusion,Python
114,nimbus-jose-jwt_aws-kms-extension,Java
115,node-jose_aws-kms-extension,TypeScript
116,openapi-swift-code-generate,Swift
117,orthogonal-additive-gaussian-processes,Python
118,oss-attribution-builder,TypeScript
119,oss-contribution-tracker,TypeScript
120,oss-dashboard,Ruby
121,pecos,Python
122,pretraining-or-self-training,Python
123,python-jose_aws-kms-extension,Python
124,rdma-core,C
125,refuel-open-domain-qa,Python
126,rete-thewebconf-2022,Python
127,rheoceros,Python
128,robotiq-gripper-interface,C++
129,selling-partner-api-docs,
130,selling-partner-api-models,Mustache
131,selling-partner-api-php-release,PHP
132,selling-partner-api-postman,
133,selling-partner-api-samples,Java
134,selling-partner-api-sdk,PHP
135,seqzero,Python
136,service-model-swift-code-generate,Swift
137,sid-provision,Python
138,sid-signing-tool,Python
139,sketch-constructor,JavaScript
140,smoke-aws,Swift
141,smoke-aws-credentials,Swift
142,smoke-aws-generate,Swift
143,smoke-aws-support,Swift
144,smoke-dynamodb,Swift
145,smoke-framework,Swift
146,smoke-framework-application-generate,Swift
147,smoke-framework-examples,Swift
148,smoke-http,Swift
149,sparse-vqvae,Python
150,ss-aga-kgc,Python
151,sto-transformer,Python
152,supply-chain-simulation-environment,Python
153,tiny-attribution-generator,TypeScript
